ToI,Name,Class_flag,Class,Carbon,Additional,ctp,Phot_status,Other_Name,Comments,Vmax,Av,Distance,Mv_calc,RV,Temperature,Type,RA,Dec,Location,Abundances,Inst/Res,Folder,Spectra_Type,Bluefile,Redfile,Alt_Bluefile,Alt_Redfile,Textfile,Extra_Monfile,RA_deg,Dec_deg,Gaia_RV,gaia_rv_err,known_RV,My_RV,parallax,p_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err
,ASAS-RCB-4,6,HdC6,C2 5.5,Li:,,max,GV Oph,,11.900,0.48,4.811,-1.99,,,Cool,17:05:41.25,-26:50:03.36,Galactic,,WiFeS/3000,ASAS_RCB_4,picky,ASAS-RCB-4__T2m3wb-20220722.084331-0128.spectrum.p11.fits,ASAS-RCB-4__T2m3wr-20220722.084331-0128.spectrum.p11.fits,,,,,,,-113.36,0.84,,,0.208,0.031,-1.937,0.037,-5.856,0.023
,ASAS-RCB-5,,,,,,1.2 decline,IRAS 17491-3410,,12.300,2.173,,,,,Cool,17:52:25.51,-34:11:28.16,Galactic,,WiFeS/3000,ASAS_RCB_5,AB,ASAS-RCB-5_July2010_Blue-A_208_unsmooth.fits,ASAS-RCB-5_July2010_Red-A_208_unsmooth.fits,ASAS-RCB-5_July2010_Blue-B_208_unsmooth.fits,ASAS-RCB-5_July2010_Red-B_208_unsmooth.fits,,,,,,,,,,,,,,
,ASAS-RCB-6,,,,,,max?,NSV 13098,,13.000,0.13,,,,,Warm/Cool,20:30:04.97,-62:07:59.22,Galactic,,WiFeS/3000,ASAS_RCB_6,normal,SUM_ASAS-RCB-6_Blue.fits,SUM_ASAS-RCB-6_Red.fits,,,,,,,112.84,1.2,,125.62,,,,,,
,ASAS-RCB-7,5,HdC5,C2 5.5,Li:,,max,V653 Sco,,,1.132,,,,,Cool,17:49:15.66,-39:13:16.58,Galactic,,WiFeS/3000,ASAS_RCB_7,picky,ASAS-RCB-7__T2m3wb-20220722.090630-0129.spectrum.p11.fits,ASAS-RCB-7__T2m3wr-20220722.090630-0129.spectrum.p11.fits,,,,,,,-294.89,1.82,,-332.03,,,,,,
,ASAS-RCB-8,1,HdC1,C2 1,,,max,TYC 6283-1417-1,,10.900,0.59,,,,,Warm,19:06:39.87,-16:23:59.15,Galactic,Majority,WiFeS/3000,ASAS_RCB_8,AB,ASAS-RCB-8_July2010_Blue-A_086_unsmooth.fits,ASAS-RCB-8_July2010_Red-A_086_unsmooth.fits,ASAS-RCB-8_July2010_Blue-B_086_unsmooth.fits,ASAS-RCB-8_July2010_Red-B_086_unsmooth.fits,,,,,,,,2.7,,,,,,
,ASAS-RCB-9,,,,,,1.4 decline,IO Nor,,10.800,4,2.953,-5.55,,,Cool,16:22:28.83,-48:35:55.68,Galactic,,WiFeS/3000,ASAS_RCB_9,AB,ASAS-RCB-9_July2010_Blue-A_070_unsmooth.fits,ASAS-RCB-9_July2010_Red-A_070_unsmooth.fits,ASAS-RCB-9_July2010_Blue-B_070_unsmooth.fits,ASAS-RCB-9_July2010_Red-B_070_unsmooth.fits,,,,,21.86,0.2,,150.92,0.339,0.034,-4.196,0.037,-4.677,0.028
,DY Cen,,,,,,max,,halpha,13.100,,24.144,,,hot,Hot,13:25:34.08,-54:14:43.13,Galactic,,WiFeS/3000,DYCen,AB,DYCen_July2010_Blue-A_201_unsmooth.fits,DYCen_July2010_Red-A_201_unsmooth.fits,DYCen_July2010_Blue-B_201_unsmooth.fits,DYCen_July2010_Red-B_201_unsmooth.fits,,,,,,,,,0.041,0.014,-5.92,0.011,-0.297,0.009
,EROS2-CG-RCB-1,4,HdC4:,-,H0.5,ctp,max,,,,6.25,,,,,,17:52:20.04,-29:03:31.69,Galactic,,WiFeS/3000,EROS2-CG-RCB-1,picky,EROS2-CG-RCB-1__T2m3wb-20220715.134217-0145.spectrum.p11.fits,EROS2-CG-RCB-1__T2m3wr-20220715.134217-0145.spectrum.p11.fits,,,,,,,,,,,,,,,,
,EROS2-CG-RCB-10,,,,,,unknown,IRAS 17424-2331,,,3.31,,,,,Cool,17:45:31.41,-23:32:24.4,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-10,one,EROS2-CG-RCB-10__ctfntwfs15red_ccd00007.0001.fits,,,,,,,,76.4,3.8,,,,,,,,
,EROS2-CG-RCB-11,,,,,,full decline,,,,3.46,,,,,Cool,17:48:41.57,-23:00:26.7,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-11,one,EROS2-CG-RCB-11__fnttwfs18red_ccd00031.fits,,,,,,,,73,4.4,,,,,,,,
,EROS2-CG-RCB-12,,,,,,full decline,,,,,,,,,Cool,17:19:58.51,-30:04:21.51,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-12,one,EROS2-CG-RCB-12__fnttwfs17red_ccd00032.fits,,,,,,,,-43.7,5.4,,,,,,,,
,EROS2-CG-RCB-13,6,HdC6:,C2 5.5,Li:,,1.5 decline,MACHO 176.19607.1138,,,3.35,4.744,,,,Cool,18:01:58.25,-27:36:48.40,Galactic,,WiFeS/3000,EROS2-CG-RCB-13,picky,EROS2-CG-RCB-13__T2m3wb-20220316.173816-0155.spectrum.p11.fits,EROS2-CG-RCB-13__T2m3wr-20220316.173816-0155.spectrum.p11.fits,,,,,,,-292.1,0.9,,,0.211,0.055,-4.802,0.063,-7.377,0.052
,EROS2-CG-RCB-14,,,,,,full decline,IRAS 18100-2750,,,1.56,,,,,Cool,18:13:14.87,-27:49:41.04,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-14,one,EROS2-CG-RCB-14__fnttwfs18red_ccd00040.fits,,,,,,,,-11.4,0.8,,,,,,,,
,EROS2-CG-RCB-3,6,HdC6,C2 5.5,Li:,,max,ASAS J175829-3051.3,,,3.419,,,,,Cool,17:58:28.30,-30:51:16.63,Galactic,,WiFeS/3000,EROS2-CG-RCB-3,picky,EROS2-CG-RCB-3__T2m3wb-20220316.170923-0154.spectrum.p11.fits,EROS2-CG-RCB-3__T2m3wr-20220316.170923-0154.spectrum.p11.fits,,,,,,,46.9,2.6,,,,,,,,
,EROS2-CG-RCB-4,,,,,,1.5 decline,Terz V 2046,,,5.38,,,,,Cool,17:46:16.23,-32:57:40.9,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-4,one,EROS2-CG-RCB-4__fnttwfs18red_ccd00025.fits,,,,,,,,-246.4,3.1,,-275.99,,,,,,
,EROS2-CG-RCB-5,7,HdC7:,C2 5.5,,,max,,,,3.667,,,,,Cool,17:46:00.34,-33:47:56.69,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-5,one,EROS2-CG-RCB-5__fnttwfs18red_ccd00028.fits,,,,,,,,-323.1,0.7,,,,,,,,
,EROS2-CG-RCB-6,5,HdC5:,C2 4.5,,,max,V1135 Sco,,,6.555,,,,,Cool,17:30:23.85,-30:08:28.50,Galactic,,WiFeS/3000,EROS2-CG-RCB-6,picky,EROS2-GC-RCB-6__T2m3wb-20220722.104941-0132.spectrum.p11.fits,EROS2-GC-RCB-6__T2m3wr-20220722.104941-0132.spectrum.p11.fits,,,,,,,114.2,3.5,,,,,,,,
,EROS2-CG-RCB-7,,,,,,full decline,Terz V 1680,,,4,,,,,Cool,17:29:37.11,-30:39:36.85,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-7,one,EROS2-CG-RCB-7__fnttwfs17red_ccd00038.fits,,,,,,,,-111.4,6.8,,,,,,,,
,EROS2-CG-RCB-8,,,,,,unknown,Terz V 2960,,,5.87,,,,,Cool,17:39:20.73,-27:57:22.68,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-8,one,EROS2-CG-RCB-8__ctfntwfs15red_ccd00004.0001.fits,,,,,,,,111.9,3.7,,,,,,,,
,EROS2-CG-RCB-9,,,,,,full decline,,,,4.91,,,,,Cool,17:48:30.90,-24:22:56.7,Galactic,,DBSR/3.6A per pix,EROS2-CG-RCB-9,one,EROS2-CG-RCB-9__fnttwfs17red_ccd00041.fits,,,,,,,,,,,,,,,,,
,ES Aql,6,HdC6,C2 5.5,Li:,,max,,,11.680,1.08,5.821,-3.22,,5000 (Y2013),Cool,19:32:21.61,-00:11:30.96,Galactic,,WiFeS/3000,ESAql,picky,ESAql__T2m3wb-20220716.132346-0228.spectrum.p11.fits,ESAql__T2m3wr-20220716.132346-0228.spectrum.p11.fits,,,,,,,-57.2,1.47,,-61.86,0.172,0.017,-4.718,0.02,-5.918,0.019
,FH Sct,,,,,,0.7 decline,,,12.250,2.49,9.073,-5.03,,6250 (A2000),Warm,18:45:14.85,-09:25:36.11,Galactic,Majority,WiFeS/3000,FHSct,normal,FHSct_T2m3wb_July2011_0310_unsmooth.fits,FHSct_T2m3wr_July2011_0310_unsmooth.fits,,,,,,,,,103,122.77,0.11,0.019,-1.025,0.018,-8.014,0.014
,GU Sgr,3,HdC3,C2 3,,,max,,,10.200,1.15,4.339,-4.14,-21.4 (L&C1997),6250 (A2000),Warm/Cool,18:24:15.58,-24:15:26.35,Galactic,Majority,WiFeS/3000,GUSgr,normal,GUSgr_T2m3wb_July2011_0224_unsmooth.fits,GUSgr_T2m3wr_July2011_0224_unsmooth.fits,,,,,,,,,-21.4,-5.19,0.23,0.02,1.254,0.022,-2.959,0.016
,HE 1015-2050,4,HdC4,C2 5,Sr H1 Li: CN-,ctp,dLHdC,2MASS J10173423-2105138,"was HdC, now RCB",,0.113,,,,,Warm/Cool,10:17:34.23,-21:05:13.88,Galactic,,WiFeS/3000,HE_1015-2050,normal,He1015-2050_June2012_Blue_200_unsmooth.fits,He1015-2050_June2012_Red_200_unsmooth.fits,,,,,,,,,,232.91,,,,,,
,IRAS1813.5-2419,6,HdC6,C2 5,H0.5,,max,,,12.600,2.9,,,,,Cool,18:16:39.20,-24:18:33.40,Galactic,,WiFeS/3000,IRAS1813.5-2419,picky,IRAS1813.5-2419__T2m3wb-20220722.110930-0133.spectrum.p11.fits,IRAS1813.5-2419__T2m3wr-20220722.110930-0133.spectrum.p11.fits,,,,,,,,,,60,,,,,,
76,J110008.77-600303.6,5,HdC5:,C2 5,H2.5,ctp,unknown,IRAS_10581-5946,,,5.485,10.84,,,,Cool,11:00:08.77,-60:03:03.6,Galactic,,WiFeS/3000,WISE_165.0365704_-60.0510265,normal,WISE_J110008.77-600303.6_June2012_Blue_210_unsmooth.fits,WISE_J110008.77-600303.6_June2012_Red_210_unsmooth.fits,,,,,165.0365704,-60.0510265,,,,28.33,0.092,0.024,-6.311,0.029,2.369,0.028
90,J132354.47-673720.8,6,HdC6:,C2 5.5,Li:,,0.2 decline,IRAS_13203-6721,,,1.476,15.345,,,,Cool,13:23:54.47,-67:37:20.8,Galactic,,WiFeS/3000,WISE_200.9769690_-67.6224558,picky,WISE_J132354.47-673720.8__T2m3wb-20220722.095442-0130.spectrum.p11.fits,WISE_J132354.47-673720.8__T2m3wr-20220722.095442-0130.spectrum.p11.fits,,,,,200.976969,-67.6224558,,,,30.76,0.065,0.017,-5.804,0.015,-0.453,0.022
105,J150104.50-563325.1,7,HdC7:,-,Li:,,unknown,,,,5.436,,,,,Cool,15:01:04.50,-56:33:25.1,Galactic,,WiFeS/3000,WISE_225.2687500_-56.5569997,normal,WISE_J150104.50-563325.1_July2012_Blue_210_unsmooth.fits,WISE_J150104.50-563325.1_July2012_Red_210_unsmooth.fits,,,,,225.26875,-56.5569997,,,,-65.85,,,,,,
121,J160205.48-552741.6,5,HdC5:,C2 5,,,unknown,,,,4.146,,,,,Cool,16:02:05.48,-55:27:41.6,Galactic,,WiFeS/3000,WISE_240.5228351_-55.4615830,normal,WISE_J160205.48-552741.6_June2012_Blue_222_unsmooth.fits,WISE_J160205.48-552741.6_June2012_Red_222_unsmooth.fits,,,,,240.5228351,-55.461583,-78.52,2.33,,-89.84,,,,,,
