ToI,Name,Class_flag,Class,Carbon,Additional,ctp,Phot_status,Other_Name,Comments,Vmax,Av,Distance,Mv_calc,RV,Temperature,Type,RA,Dec,Location,Abundances,Inst/Res,Folder,Spectra_Type,Bluefile,Redfile,Alt_Bluefile,Alt_Redfile,Textfile,Extra_Monfile,RA_deg,Dec_deg,Gaia_RV,gaia_rv_err,known_RV,My_RV,parallax,p_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err
193,J175107.12-242357.3,2,HdC2:,-,,,unknown,,,,7.1,8.586,,,,Warm,17:51:07.12,-24:23:57.3,Galactic,,WiFeS/3000,WISE_267.7796673_-24.3992703,normal,WISE_J175107.12-242357.3_July2012_Blue_306_unsmooth.fits,WISE_J175107.12-242357.3_July2012_Red_306_unsmooth.fits,,,,,267.7796673,-24.3992703,-127.89,3.12,,-137.91,0.116,0.037,-2.338,0.044,-2.412,0.027
1241,J175521.75-281131.2,,,,,,2 decline,IRAS_17522-2811,,,6.17,4.738,,,,Cool,17:55:21.75,-28:11:31.2,Galactic,,"SOAR Goodman,400 grating/1850",WISE_268.8406301_-28.1920148,one,WISE_268.8406301_-28.1920148_1122_blue.fits,WISE_268.8406301_-28.1920148_1122_red.fits,,,,,268.8406301,-28.1920148,,,,,0.211,0.042,-7.872,0.047,-1.539,0.029
197,J175558.51-164744.3,1,HdC1:,C2 0.5,,ctp,0.4 decline,,,,3.46,15.905,,,,Warm,17:55:58.51,-16:47:44.3,Galactic,,WiFeS/3000,WISE_268.9938183_-16.7956536,picky,WISE_J175558.51-164744.3__T2m3wb-20220716.143733-0231.spectrum.p11.fits,WISE_J175558.51-164744.3__T2m3wr-20220716.143733-0231.spectrum.p11.fits,,,,,268.9938183,-16.7956536,,,,-24.52,0.063,0.015,-4.356,0.017,-5.255,0.013
203,J175749.76-075314.9,4,HdC4:,C2 5,,,unknown,IRAS_17550-0753,,,5.2,,,,,Cool,17:57:49.76,-07:53:14.9,Galactic,,WiFeS/3000,WISE_269.4573706_-7.8874953,normal,WISE_J175749.76-075314.9_Aug2012_Blue_207_unsmooth.fits,WISE_J175749.76-075314.9_Aug2012_Red_207_unsmooth.fits,,,,,269.4573706,-7.8874953,-6.08,0.56,,-33.96,,,,,,
204,J175749.98-182522.8,6,HdC6:,-,,ctp,max,"2MASS_J17574999-1825229, GLIMPSE-RCB-Cand-2",,,7.84,,,,,Cool,17:57:49.98,-18:25:22.8,Galactic,,WiFeS/3000,WISE_269.4582740_-18.4230046,pickyone,WISE_J175749.98-182522.8__T2m3wr-20220716.163643-0234.spectrum.p11.fits,,,,,,269.458274,-18.4230046,,,,105.14,,,,,,
209,J180550.49-151301.7,2,HdC2:,C2 0.5,H0.5,ctp,0.5 decline,IRAS_18029-1513,,,4.83,8.793,,,,Warm,18:05:50.49,-15:13:01.7,Galactic,,WiFeS/3000,WISE_271.4603768_-15.2171411,picky,WISE_J180550.49-151301.7__T2m3wb-20220716.151101-0232.spectrum.p11.fits,WISE_J180550.49-151301.7__T2m3wr-20220716.151101-0232.spectrum.p11.fits,,,,,271.4603768,-15.2171411,172.7,3.66,,184.57,0.114,0.023,-5.594,0.023,-10.321,0.016
2645,J181252.50-233304.4,4,HdC4,C2 4.5,H0.5,,max,,,,5.09,,,,,Cool,18:12:52.50,-23:33:04.4,Galactic,,WiFeS/3000,WISE_273.2187521_-23.5512407,picky,WISE_J181252.50-233304.4__T2m3wb-20220316.180540-0156.spectrum.p11.fits,WISE_J181252.50-233304.4__T2m3wr-20220316.180540-0156.spectrum.cleaner.p11.fits,,,,,273.2187521,-23.5512407,,,,,,,,,,
220,J181538.25-203845.7,5,HdC5:,C2 5,H0.5,ctp,unknown,,,,7.14,,,,,Cool,18:15:38.25,-20:38:45.7,Galactic,,WiFeS/3000,WISE_273.9093832_-20.6460359,normal,WISE_J181538.25-203845.7_July2012_Blue_225_unsmooth.fits,WISE_J181538.25-203845.7_July2012_Red_225_unsmooth.fits,,,,,273.9093832,-20.6460359,,,,-111.29,,,,,,
,J182235.25-033213.2,7,HdC7:,-,,ctp,max,,,,6.26,,,,,Cool,18:22:35.25,-03:32:13.2,Galactic,,WiFeS/3000,J182235.25-033213.2,pickyone,WISE_J182235.25-033213.2__T2m3wr-20220715.150441-0148.spectrum.p11.fits,,,,,,,,,,,,,,,,,
1265,J182334.24-282957.1,,,,,,unknown,IRAS_18203-2831,,,0.964,,,,,Cool,18:23:34.24,-28:29:57.1,Galactic,,WiFeS/3000,WISE_275.8926718_-28.4991996,normal,WISE_J182334.24-282957.1_Aug2013_Blue_0227_unsmooth.fits,WISE_J182334.24-282957.1_Aug2013_Red_0227_unsmooth.fits,,,,,275.8926718,-28.4991996,,,,-73.88,,,,,,
1269,J182723.38-200830.1,7,HdC7:,C2 5.5,Li:,,unknown,IRAS_18244-2010,,,3.38,,,,,Cool,18:27:23.38,-20:08:30.1,Galactic,,WiFeS/3000,WISE_276.8474434_-20.1417190,normal,WISE_J182723.38-200830.1_Aug2013_Blue_0228_unsmooth.fits,WISE_J182723.38-200830.1_Aug2013_Red_0228_unsmooth.fits,,,,,276.8474434,-20.141719,,,,-28.75,,,,,,
231,J182943.83-190246.2,5,HdC5:,C2 5,,,0.5 decline,,,,1.86,12.943,,,,Cool,18:29:43.83,-19:02:46.2,Galactic,,WiFeS/3000,WISE_277.4326271_-19.0461747,picky,WISE_J182943.83-190246.2__T2m3wb-20210924.114359-0039.spectrum.p11.fits,WISE_J182943.83-190246.2__T2m3wr-20210924.114358-0039.spectrum.p11.fits,,,,,277.4326271,-19.0461747,26.37,0.46,,5.64,0.077,0.022,-2.833,0.023,-4.955,0.018
240,J183649.54-113420.7,7,HdC7:,C2 5.5,,,unknown,IRAS_18340-1136,,,4.09,6.574,,,,Cool,18:36:49.54,-11:34:20.7,Galactic,,WiFeS/3000,WISE_279.2064538_-11.5724423,normal,WISE_J183649.54-113420.7_July2012_Blue_233_unsmooth.fits,WISE_J183649.54-113420.7_July2012_Red_233_unsmooth.fits,,,,,279.2064538,-11.5724423,,,,81.9,0.152,0.04,-3.202,0.065,-7.303,0.055
249,J184158.40-054819.2,4,HdC4:,C2 4,,,unknown,,,,4.76,5.524,,,,Cool,18:41:58.40,-05:48:19.2,Galactic,,WiFeS/3000,WISE_280.4933622_-5.8053509,normal,WISE_J184158.40-054819.2_Aug2012_Blue_125_unsmooth.fits,WISE_J184158.40-054819.2_Aug2012_Red_125_unsmooth.fits,,,,,280.4933622,-5.8053509,,,,78.85,0.181,0.026,-0.407,0.027,-6.808,0.024
250,J184246.26-125414.7,7,HdC7:,C2 5.5,Li:,,unknown,IRAS_18399-1257,,,3.49,,,,,Cool,18:42:46.26,-12:54:14.7,Galactic,,WiFeS/3000,WISE_280.6927654_-12.9040899,normal,WISE_J184246.26-125414.7_July2013_Blue_4026_unsmooth.fits,WISE_J184246.26-125414.7_July2013_Red_4026_unsmooth.fits,,,,,280.6927654,-12.9040899,,,,49.42,,,,,,
257,J185525.52-025145.7,1,HdC1,C2 0.5,H1.5,,max,,small halpha,,4.28,17.72,,,,Warm,18:55:25.52,-02:51:45.7,Galactic,,WiFeS/3000,WISE_283.8563581_-2.8627120,normal,WISE_J185525.52-025145.7_Aug2012_Blue_126_unsmooth.fits,WISE_J185525.52-025145.7_Aug2012_Red_126_unsmooth.fits,,,,,283.8563581,-2.862712,,,,33.96,0.056,0.017,-3.086,0.02,-5.877,0.017
290,J194218.38-203247.5,6,HdC6,C2 5.5,Li:,,max,AKARI-IRC-V1_J1942183-203247,,,0.26,,,,,Cool,19:42:18.38,-20:32:47.5,Galactic,,WiFeS/3000,WISE_295.5765975_-20.5465352,normal,WISE_J194218.38-203247.5_June2012_Blue_243_unsmooth.fits,WISE_J194218.38-203247.5_June2012_Red_243_unsmooth.fits,,,,,295.5765975,-20.5465352,,,,,,,,,,
,MACHO 135.27132.51,,,,,,unknown,2MASS J18193375-2835580,,,1.6,,,,,Cool,18:19:33.76,-28:35:58.07,Galactic,,"magellan2,high_disp grism/?",MACHO135.27132.51,ntt,135.27132.51.ms.fits,,,,,,,,,,,,,,,,,
,MACHO 301.45783.9,,,,,,unknown,2MASS J18321860-1310495,,,3.38,,,,,Cool,18:32:18.60,-13:10:49.6,Galactic,,"magellan2,high_disp grism/?",MACHO301.45783.9,ntt,301.45783.9.ms.fits,,,,,,,,,,,,,,,,,
,MACHO 308.38099.66,7,HdC7,C2 5.5,,,max,2MASS J18192742-2124082,,,4.59,,,,,Cool,18:19:27.42,-21:24:08.20,Galactic,,WiFeS/3000,MACHO308.38099.66,picky,MACHO-308.38099.66__T2m3wb-20220413.183530-0442.spectrum.p11.fits,MACHO-308.38099.66__T2m3wr-20220413.183530-0442.spectrum.p11.fits,,,,,,,,,,,,,,,,
,MACHO 401.48170.2237,7,HdC7,C2 5.5,Li:,,max,,backwards,,3.49,,,,,Cool,17:57:59.02,-28:18:13.1,Galactic,,WiFeS/3000,MACHO401.48170.2237,picky,MACHO-401.48170.2237__T2m3wb-20220722.121253-0135.spectrum.p11.fits,MACHO-401.48170.2237__T2m3wr-20220722.121253-0135.spectrum.p11.fits,,,,,,,,,,87.09,,,,,,
,MV Sgr,,,,,,max,,,13.400,1.38,10.455,-3.07,,hot,Hot,18:44:31.97,-20:57:12.86,Galactic,,WiFeS/3000,MVSgr,AB,MVSgr_July2010_Blue-A_094_unsmooth.fits,MVSgr_July2010_Red-A_094_unsmooth.fits,MVSgr_July2010_Blue-B_094_unsmooth.fits,MVSgr_July2010_Red-B_094_unsmooth.fits,,,,,,,,,0.096,0.019,-4.681,0.023,-7.746,0.019
,NSV11154,5,HdC5:,C2 5.5,,,max,,extra spectra in folder,,0.07,,,,5200 (Y2013),Cool,18:37:51.26,47:23:23.47,Galactic,,TNG,NSV11154,TNG,NSV11154__LRR__LRS.2019-06-22T21-32-44.583.fits.gz,NSV11154__VHRV__LRS.2019-06-26T22-01-53.540.fits.gz,,,spec-56807-KP185111N464417V03_sp14-103.fits,,,,,,,-333.7,,,,,,
,OGLE-GC-RCB-1,,,,,,1.3 decline,NSV 22773,,,4.09,7.398,,,,Cool,17:35:18.11,-26:53:49.24,Galactic,,WiFeS/3000,OGLE-GC-RCB-1,normal,OGLE-GC-RCB-1_T2m3wb_July2011_0315_unsmooth.fits,OGLE-GC-RCB-1_T2m3wr_July2011_0315_unsmooth.fits,,,,,,,-52.29,0.58,,-46.43,0.135,0.034,-5.139,0.037,-7.005,0.024
,R CrB,1,HdC1:,C2 2,H0.5,,max,,from AAVSO,5.800,0.07,,,22.3 (L&C1997),6750 (A2000),Warm/Cool,15:48:34.41,28:09:24.30,Galactic,Majority,TNG,RCrB,TNG,RCrB__LRR__LRS.2019-06-21T21-41-59.768.fits.gz,RCrB__VHRV__LRS.2019-06-26T21-27-42.610.fits.gz,,,,,,,,,22.3,95.28,0.761,0.061,-2.447,0.144,-11.806,0.344
,RS Tel,3,HdC3,C2 3,,,max,,,9.900,0.238,5.773,-4.15,6.9 (L&C1997),6750 (A2000),Warm/Cool,18:18:51.22,-46:32:53.43,Galactic,Majority,WiFeS/3000,RSTel,AB,RSTel_July2010_Blue-A_146_unsmooth.fits,RSTel_July2010_Red-A_146_unsmooth.fits,RSTel_July2010_Blue-B_146_unsmooth.fits,RSTel_July2010_Red-B_146_unsmooth.fits,,,,,-1.02,2.1,6.9,-8.85,0.173,0.017,-2.73,0.017,-6.67,0.013
,RT Nor,2,HdC2,C2 3,H0.5,,max,,,10.150,0.634,5.906,-4.34,-43.9 (L&C1997),7000 (A2000),Cool,16:24:18.67,-59:20:38.57,Galactic,Majority,WiFeS/3000,RTNor,picky,RTNor__T2m3wb-20220314.180540-0035.spectrum.p11.fits,RTNor__T2m3wr-20220314.180540-0035.spectrum.p11.fits,,,,,,,,,-43.9,-69.2,0.169,0.019,-3.506,0.02,-5.604,0.017
,RY Sgr,1,HdC1,C2 1,H1.5,,max,,,6.300,0.41,1.701,-5.26,-20.5 (L&C1997),7250 (A2000),Warm,19:16:32.77,-33:31:20.33,Galactic,Majority,WiFeS/3000,RYSgr,AB,RYSgr_July2010_Blue-A_108_unsmooth.fits,RYSgr_July2010_Red-A_108_unsmooth.fits,RYSgr_July2010_Blue-B_108_unsmooth.fits,RYSgr_July2010_Red-B_108_unsmooth.fits,,,,,-16.02,4.68,-20.5,-56.57,0.588,0.027,8.957,0.025,-0.277,0.023
,RZ Nor,2,HdC2,C2 2.5,Li,,max,,new spectrum,10.400,1.598,,,,6750 (A2000),Warm/Cool,16:32:41.66,-53:15:33.2,Galactic,Majority,WiFeS/3000,RZNor,picky,RZNor__T2m3wb-20220314.182358-0036.spectrum.p11.fits,RZNor__T2m3wr-20220314.182358-0036.spectrum.p11.fits,,,,,,,,,,,,,,,,
,S Aps,5,HdC5,C2 5,Li:,,max,,,9.600,0.36,4.458,-4.01,-74.6 (L&C1997),5400 (A1997),Cool,15:09:24.54,-72:03:45.18,Galactic,,WiFeS/3000,SAps,AB,SAps_July2010_Blue-A_202_unsmooth.fits,SAps_July2010_Red-A_202_unsmooth.fits,SAps_July2010_Blue-B_202_unsmooth.fits,SAps_July2010_Red-B_202_unsmooth.fits,,,,,-82.13,0.71,-74.6,-104.18,0.224,0.017,-6.632,0.013,-2.155,0.017
,SU Tau,2,HdC2:,-,,ctp,max,,,9.800,1.6,,,43 (Pandey),6500 (A2000),,05:49:03.73,19:04:21.89,Galactic,Majority,TNG,SUTau,pickyone,SUTau_TNG-Nov2020_22T05-34-26_LRR.fits,,,,,,,,,,48,145.34,,,,,,
,SV Sge,6,HdC6,C2 5.5,,,max,,,10.450,1.49,2.613,-3.13,4 (Wilson1953),"5000-5200 (Y2013), 4010 (B2001)",Cool,19:08:11.77,17:37:41.17,Galactic,,WiFeS/3000,SVSge,normal,SVSge_T2m3wb_July2011_0311_unsmooth.fits,SVSge_T2m3wr_July2011_0311_unsmooth.fits,,,,,,,-4.58,0.81,,-15.72,0.383,0.015,-2.622,0.013,-1.236,0.013
,U Aqr,5,HdC5,C2 5,Sr,,max,,,11.200,0.095,11.641,-4.22,98.0 (L&C1997),6000 (A1997),Cool,22:03:19.70,-16:37:35.28,Galactic,,WiFeS/3000,UAqr,AB,UAqr_July2010_Blue-A_109_unsmooth.fits,UAqr_July2010_Red-A_109_unsmooth.fits,UAqr_July2010_Blue-B_109_unsmooth.fits,UAqr_July2010_Red-B_109_unsmooth.fits,,,,,89.49,1.54,98,69.07,0.086,0.022,2.78,0.024,-1.907,0.02
,UV Cas,2,HdC2:,C2 0.5,,ctp,max,,Patrick: waiting on reduction,10.600,2.53,3.331,-4.54,-32 (Pandey),7250 (A2000),Warm,23:02:14.66,59:36:36.69,Galactic,Majority,TNG,UVCas,TNG,UVCas__LRR__LRS.2019-06-26T05-06-28.539.fits.gz,UVCas__VHRV__LRS.2019-06-26T05-19-05.832.fits.gz,,,,,,,-28.02,0.8,-31,0,0.3,0.01,0.005,0.011,-0.294,0.012
,UW Cen,,,,,,1 decline,,,9.400,1.032,4.967,-5.11,-16.1 (L&C1997),7500 (A2000),Warm,12:43:17.19,-54:31:40.76,Galactic,Majority,WiFeS/3000,UWCen,picky,UWCen__T2m3wb-20220216.173043-0428.spectrum.p11.fits.gz,UWCen__T2m3wr-20220216.173043-0428.spectrum.p11.fits.gz,,,,,,,-28.37,0.68,-16.1,0,0.201,0.017,-7.965,0.011,-1.731,0.015
,UX Ant,1,HdC1,C2 2,H1,,max,,,12.000,0.247,,,144.3 (L&C1997),7000 (A2000),Warm,10:57:09.06,-37:23:55.13,Galactic,Majority,WiFeS/3000,UXAnt,picky,UXAnt__T2m3wb-20220216.172007-0427.spectrum.p11.fits.gz,UXAnt__T2m3wr-20220216.172007-0427.spectrum.p11.fits.gz,,,,,,,147.29,0.99,144.3,151.28,,,,,,
,V CrA,,,,,,0.7 decline,,,9.700,0.299,,,-7.9 (L&C1997),6250 (A2000),Warm/Cool,18:47:32.31,-38:09:32.32,Galactic,Minority,WiFeS/3000,VCrA,normal,VCrA_T2m3wb_July2011_0225_unsmooth.fits,VCrA_T2m3wr_July2011_0225_unsmooth.fits,,,,,,,-4.35,2.85,-7.9,29.76,,,,,,
,V1157 Sgr,6,HdC6:,C2 5.5,,,0.5 decline,,,11.500,0.52,3.819,-1.93,12 (Evans1991),,Cool,19:45:42.36,-26:35:26.54,Galactic,,WiFeS/3000,V1157Sge,normal,V1157Sgr_230_Blue.fits,V1157Sgr_230_Red.fits,,,,,,,23.21,1.04,,,0.262,0.064,-1.744,0.075,-0.096,0.056
,V1783 Sgr,5,HdC5,C2 5,,,max,,,10.600,1.563,6.246,-4.94,117 (Evans1991),,Cool,18:04:49.74,-32:43:13.63,Galactic,,WiFeS/3000,V1783Sgr,AB,V1783Sgr_July2010_Blue-A_145_unsmooth.fits,V1783Sgr_July2010_Red-A_145_unsmooth.fits,V1783Sgr_July2010_Blue-B_145_unsmooth.fits,V1783Sgr_July2010_Red-B_145_unsmooth.fits,,,,,,,,119.63,0.16,0.039,-1.736,0.042,-6.818,0.029
,V2552 Oph,1,HdC1,C2 0.5,H1,,max,,,10.900,2.42,4.865,-4.96,60.5 (R&L2003),6750 (R&L2003),Warm,17:23:14.55,-22:52:06.32,Galactic,,WiFeS/3000,V2552Oph,picky,V2552Oph__T2m3wb-20220715.110047-0139.spectrum.p11.fits,V2552Oph__T2m3wr-20220715.110047-0139.spectrum.p11.fits,,,,,,,65.08,0.99,,68.09,0.206,0.015,3.245,0.019,-7.314,0.012
,V2331 Sgr,,,,,,0.7 mag decline,commonly confused for ASAS-RCB-6,,,2.886,,,,,Cool,18:17:06.85,-23:57:51.35,Galactic,,WiFeS/3000,V2331Sgr,picky,V2331Sgr__T2m3wb-20220722.113712-0134.spectrum.p11.fits,V2331Sgr__T2m3wr-20220722.113712-0134.spectrum.p11.fits,,,,,,,,,,,,,,,,
,V348 Sgr,,,,,,max,,,,1.12,,,,hot,Hot,18:40:19.93,-22:54:29.39,Galactic,,WiFeS/3000,V348Sgr,AB,V348Sgr_July2010_Blue-A_106_unsmooth.fits,V348Sgr_July2010_Red-A_106_unsmooth.fits,V348Sgr_July2010_Blue-B_106_unsmooth.fits,V348Sgr_July2010_Red-B_106_unsmooth.fits,,,,,,,,,,,,,,
,V3795 Sgr,0,HdC0,C2 0.5,,,max,,,10.950,2.71,,,,8000 (A2000),Warm,18:13:23.56,-25:46:40.89,Galactic,Minority,WiFeS/3000,V3795Sgr,AB,V3795Sgr_July2010_Blue-A_132_unsmooth.fits,V3795Sgr_July2010_Red-A_132_unsmooth.fits,V3795Sgr_July2010_Blue-B_132_unsmooth.fits,V3795Sgr_July2010_Red-B_132_unsmooth.fits,,,,,,,-30,,,,,,,
,V391 Sct,1,HdC1,C2 0.5,H1 Li:,,max,,,13.250,3.68,,,,,Warm,18:28:06.61,-15:54:44.13,Galactic,,WiFeS/3000,V391Sct,AB,V391Sct_July2010_Blue-A_093_unsmooth.fits,V391Sct_July2010_Red-A_093_unsmooth.fits,V391Sct_July2010_Blue-B_093_unsmooth.fits,V391Sct_July2010_Red-B_093_unsmooth.fits,,,,,-16.76,0.5,,5,,,,,,
,V4017 Sgr,4,HdC4,C2 3,,,max,,,10.800,0.78,5.643,-3.74,,,Cool,18:18:02.29,-29:29:33.04,Galactic,,WiFeS/3000,V4017Sgr,normal,WISE_274.5095441_-29.4924958_226_Blue.fits,WISE_274.5095441_-29.4924958_226_Red.fits,,,,,,,,,,,0.177,0.022,-2,0.023,-4.462,0.016
,V482 Cyg,1,HdC1:,C2 1.5,,,max,,Patrick: waiting on reduction,10.850,2.86,3.824,-4.92,-41.2 (R&L1993),6500 (A2000),Warm,19:59:42.57,33:59:27.94,Galactic,Majority,TNG,V482Cyg,TNG,V482Cyg__LRR__LRS.2019-06-26T03-09-51.981.fits.gz,V482Cyg__VHRV__LRS.2019-06-26T03-24-35.377.fits.gz,,,,,,,,,-41,,0.262,0.011,-1.917,0.01,-6.053,0.012
,V517 Oph,6,HdC6,C2 5.5,Li:,,max,,,11.400,1.86,3.642,-6.41,21 (Kilkenny1992),,Cool,17:15:19.73,-29:05:37.40,Galactic,,WiFeS/3000,V517Oph,picky,V517Oph__T2m3wb-20220715.094634-0135.spectrum.p11.fits,V517Oph__T2m3wr-20220715.102341-0137.spectrum.p11.fits,,,,,,,,,,-31.27,0.275,0.026,-4.236,0.03,-0.799,0.021
,V532 Oph,1,HdC1:,C2 1,,,0.3 decline,,median averaged the spectra,,2.6,7.294,,,,Warm,17:32:42.61,-21:51:40.76,Galactic,Majority,TNG,V532Oph,picky,V532Oph__T2m3wb-20220802.093209-0133.spectrum.p11.fits,V532Oph__T2m3wr-20220802.093209-0133.spectrum.p11.fits,,,median_combine.txt,,,,,,,,0.137,0.022,-4.586,0.023,-7.288,0.015
,V739 Sgr,6,HdC6:,C2 5.5,,ctp,0.4 decline,,,12.900,1.45,8.469,-3.19,12 (Evans1991),,Cool,18:13:10.56,-30:16:14.73,Galactic,,WiFeS/3000,V739Sgr,AB,V739Sgr_July2010_Blue-A_131_unsmooth.fits,V739Sgr_July2010_Red-A_131_unsmooth.fits,V739Sgr_July2010_Blue-B_131_unsmooth.fits,V739Sgr_July2010_Red-B_131_unsmooth.fits,,,,,,,,-24.65,0.118,0.019,-2.433,0.023,-7.751,0.016
,V854 Cen,1,HdC1,C2 0.5,H3b,,max,,halpha,7.000,0.309,,,-25.1 (L&C1989),6750 (A1998),Warm,14:34:49.40,-39:33:19.28,Galactic,Minority,WiFeS/3000,V854Cen,normal,V854Cen_T2m3wb_July2011_0208_unsmooth.fits,V854Cen_T2m3wr_July2011_0208_unsmooth.fits,,,,,,,,,-25.1,,,,,,,
,VZ Sgr,1,HdC1,C2 0.5,H1,,max,,,10.350,1.04,9.206,-5.51,251.3 (L&C1997),7000 (A2000),Warm,18:15:08.57,-29:42:29.50,Galactic,Minority,WiFeS/3000,VZSgr,AB,VZSgr_July2010_Blue-A_211_unsmooth.fits,VZSgr_July2010_Red-A_211_unsmooth.fits,VZSgr_July2010_Blue-B_211_unsmooth.fits,VZSgr_July2010_Red-B_211_unsmooth.fits,,,,,248.86,1.67,251.3,239.3,0.109,0.021,-6.517,0.024,-4.942,0.018
,WX CrA,5,HdC5:,C2 5,,,0.4 decline,,,10.600,0.431,6.095,-3.76,-3.8 (L&C1997),5300 (A1997),Cool,18:08:50.49,-37:19:43.21,Galactic,,WiFeS/3000,WXCrA,AB,WXCrA_July2010_Blue-A_210_unsmooth.fits,WXCrA_July2010_Red-A_210_unsmooth.fits,WXCrA_July2010_Blue-B_210_unsmooth.fits,WXCrA_July2010_Red-B_210_unsmooth.fits,,,,,,,-3.8,2.56,0.164,0.028,1.421,0.028,-7.108,0.021
,XX Cam,2,HdC2:,-,,ctp,max,,have some echelle spectra,7.300,1.23,1.378,-4.63,9.3 (L&C1997),7250 (A2000),,04:08:38.75,53:21:39.35,Galactic,Majority,TNG,XXCam,pickyone,XXCam_TNG-Nov2020_22T04-50-23_LRR.fits,,,,,,,,,,9.3,209.32,0.725,0.018,1.849,0.02,-2.664,0.016
,Y Mus,0,HdC0,C2 0.5,,,max,,,10.250,2.229,5.249,-5.58,31.5 (L&C1997),7250 (A2000),Warm,13:05:48.20,-65:30:46.62,Galactic,Majority,WiFeS/3000,YMus,AB,YMus_July2010_Blue-A_200_unsmooth.fits,YMus_July2010_Red-A_200_unsmooth.fits,YMus_July2010_Blue-B_200_unsmooth.fits,YMus_July2010_Red-B_200_unsmooth.fits,,,,,32.74,1.04,31.5,0.46,0.191,0.011,-7.024,0.009,-2.658,0.012
,Z Umi,5,HdC5:,C2 5.5,,,max,,Patrick: waiting on reduction,,0.41,4.631,,-37 (Goswami1997),"5250 (K&K2003), 4600-4700 (Y2013)",Cool,15:02:01.37,83:03:48.63,Galactic,,TNG,ZUmi,TNG,ZUmi__LRR__LRS.2019-06-21T21-56-51.392.fits.gz,ZUmi__VHRV__LRS.2019-06-26T21-44-51.194.fits.gz,,,,,,,-32.32,2.03,-37,-65.12,0.216,0.023,-7.346,0.028,4.322,0.031
,HD137613,4,HdC4,C2 3.5,,,dLHdC,,HdC,,0.37,1.287,,70.8 (L&C1997),5400 (A1997),Cool,15:27:48.32,-25:10:10.13,Galactic,,WiFeS/3000,HD137613,AB,HD137613_July2010_Blue-A_203_unsmooth.fits,HD137613_July2010_Red-A_203_unsmooth.fits,HD137613_July2010_Blue-B_203_unsmooth.fits,HD137613_July2010_Red-B_203_unsmooth.fits,,,,,,,70.8,37,,,,,,
,HD148839,2,HdC2,C2 3,H2 Li:,,dLHdC,,HdC,,0.228,1.799,,-12.2 (L&C1997),5625 (B2001),Warm/Cool,16:35:45.79,-67:07:36.69,Galactic,,WiFeS/3000,HD148839,AB,HD148839_July2010_Blue-A_204_unsmooth.fits,HD148839_July2010_Red-A_204_unsmooth.fits,HD148839_July2010_Blue-B_204_unsmooth.fits,HD148839_July2010_Red-B_204_unsmooth.fits,,,,,,,-12.2,-4.8,,,,,,
,HD173409,2,HdC2,C2 3,,,dLHdC,,HdC,,0.454,2.205,,-58.6 (L&C1997),6100 (A1997),Warm/Cool,18:46:26.63,-31:20:32.08,Galactic,,WiFeS/3000,HD173409,AB,HD173409_July2010_Blue-A_140_unsmooth.fits,HD173409_July2010_Red-A_140_unsmooth.fits,HD173409_July2010_Blue-B_140_unsmooth.fits,HD173409_July2010_Red-B_140_unsmooth.fits,,,,,,,-58.6,-57.71,,,,,,
,HD175893,4,HdC4,C2 3.5,,,max,,RCB!,,0.45,4.447,,56.2 (L&C1997),5640 (B2001),Cool,18:58:47.29,-29:30:18.07,Galactic,,WiFeS/3000,HD175893,AB,HD175893_July2010_Blue-A_141_unsmooth.fits,HD175893_July2010_Red-A_141_unsmooth.fits,HD175893_July2010_Blue-B_141_unsmooth.fits,HD175893_July2010_Red-B_141_unsmooth.fits,,,,,,,56.2,30.67,,,,,,
,HD182040,2,HdC2,C2 4,,,dLHdC,,HdC,,0.67,0.913,,-34.9 (L&C1997),5590 (B2001),Cool,19:23:10.08,-10:42:11.54,Galactic,,WiFeS/3000,HD182040,AB,HD182040_July2010_Blue-A_142_unsmooth.fits,HD182040_July2010_Red-A_142_unsmooth.fits,HD182040_July2010_Blue-B_142_unsmooth.fits,HD182040_July2010_Red-B_142_unsmooth.fits,,,,,,,-34.9,-37.52,,,,,,
,HV 2671,,,,,,,MACHO 11.8632.2507,,,0.401,,,,hot,Hot,05:33:48.94,-70:13:23.43,Magellanic,,unknown/2.2A per pix,HV2671,,,,,,ClaKi1.txt,,,,,,,,,,,,,
,HV 5637,,,,,,,2MASS J05113136-6755506,,14.780,0.317,49.97,,,,Cool,05:11:31.38,-67:55:50.81,Magellanic,,unknown/2.2A per pix,HV5637,,,,,,hv5637-ccd.txt,hv5637-940903.mon,,,,,,,,,,,,
,W Men,1,HdC1:,C2 0.5,H0.5,,0.3 decline,2MASS J05262451-7111117,cosmic at 7000,13.750,0.284,49.97,,,6700 (P1994),Warm,05:26:24.53,-71:11:11.80,Magellanic,,WiFeS/3000,WMen,picky,WMen__T2m3wb-20220715.200257-0156.spectrum.p11.fits,WMen__T2m3wr-20220715.200257-0156.spectrum.p11.fits,,,,,,,,,,,,,,,,
,HV 12842,,,,,,,ASAS J054503-6424.4,,13.750,0.184,49.97,,,6800 (P1994),Warm/Cool,05:45:02.88,-64:24:22.72,Magellanic,,unknown/2.2A per pix,HV12842,,,,,,hv12842-ccd.dat,hv12842-940904.mon,,,,,,,,,,,,
